User Name,Session Code,Trial Code,Trial Start Date,Trial Duration,Average Speed,Max Speed,Min Speed,Violation Count,Average Violation Duration,Vehicle,Weather Preset
Alex,4rM0Fwv6,5ExqgOEA,2024-08-27 18:28:02,01:12:37,44.92,64.35,0.0,11,4.00 seconds,Dodge Charger 2020,Clear Night
Alex,xrs4IDa8,KEKHeRjz,2024-08-27 18:49:45,00:01:87,0,0.0,0.0,0,0.00 seconds,Dodge Charger 2020,Clear Night
