User Name,Session Code,Trial Code,Trial Start Date,Trial Duration,Average Speed,Max Speed,Min Speed,Violation Count,Average Violation Duration,Vehicle,Weather Preset
teste,uRbwYbKo,J7ZQobzW,2024-09-07 20:40:05,01:30:99,44.85,49.88,0.0,23,1.06 seconds,Dodge Charger 2020,Clear Night
teste,AAV6mYkz,uFUQZ1Uc,2024-09-07 21:03:31,01:22:90,44.86,57.65,0.0,20,1.29 seconds,Dodge Charger 2020,Clear Night
