User Name,Session Code,Trial Code,Unix Timestamp,Time Elapsed,Speed,X,Y,Z,Pitch,Yaw,Roll,Heading (Degrees),Heading (Cardinal),Vehicle
Alex,4rM0Fwv6,5ExqgOEA,1724797682,0.01,0.00017864356232121602,246.29966735839844,-27.000675201416016,0.0003200149512849748,8.196226553991437e-05,-86.75396728515625,-3.0517578125e-05,-86.75396728515625,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797683,0.51,3.276770296360913e-05,246.29966735839844,-27.000675201416016,0.00031688690069131553,8.196226553991437e-05,-86.75396728515625,-3.0517578125e-05,-86.75396728515625,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797683,1.0,0.0001426768084233252,246.29966735839844,-27.000675201416016,0.0003681564121507108,8.196226553991437e-05,-86.75396728515625,-3.0517578125e-05,-86.75396728515625,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797684,1.51,8.022737339620413,246.34898376464844,-27.82959747314453,0.00042297362233512104,0.37991559505462646,-86.70708465576172,0.00677635008469224,-86.70708465576172,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797684,2.01,13.269323850819834,246.47994995117188,-30.39792823791504,0.0005776214529760182,0.17859578132629395,-87.2455062866211,0.048837918788194656,-87.2455062866211,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797685,2.5,21.984573140608404,246.68809509277344,-34.41722106933594,0.0005475998041220009,0.31069162487983704,-86.86656951904297,0.006936865858733654,-86.86656951904297,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797685,3.01,27.989338726222343,246.8290252685547,-40.27695846557617,0.0005207824870012701,0.23803891241550446,-89.70014190673828,0.1555669605731964,-89.70014190673828,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797686,3.52,33.55462288587927,246.98829650878906,-47.28897476196289,0.0005274582072161138,0.2525189220905304,-87.72533416748047,-0.12329097837209702,-87.72533416748047,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797686,4.03,37.64032967475452,247.25823974609375,-55.26997756958008,0.0005137633997946978,0.20010404288768768,-87.99523162841797,-0.0343017503619194,-87.99523162841797,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797687,4.5,41.73945578951612,247.54861450195312,-63.96603012084961,0.0005118179251439869,0.1991819590330124,-88.71247100830078,0.08912316709756851,-88.71247100830078,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797687,5.03,45.92389019428116,247.9011993408203,-74.0354232788086,0.0005109786870889366,0.19715340435504913,-87.16748046875,-0.11877439171075821,-87.16748046875,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797688,5.51,48.82623328139441,248.39108276367188,-84.18767547607422,0.0005022430559620261,0.16382890939712524,-87.30785369873047,0.009167544543743134,-87.30785369873047,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797688,6.01,52.05416328907457,248.71994018554688,-95.74105072021484,0.0004987716674804688,0.15572147071361542,-90.368896484375,0.37048739194869995,-90.368896484375,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797689,6.52,55.1917619582829,248.52786254882812,-107.79904174804688,0.0004974365001544356,0.15523652732372284,-91.67233276367188,0.2006455808877945,-91.67233276367188,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797689,7.01,58.29665196306605,248.25257873535156,-120.41023254394531,0.000498542794957757,0.15542776882648468,-90.85737609863281,-0.0404052808880806,-90.85737609863281,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797690,7.52,61.13240522464179,247.72262573242188,-133.906982421875,0.0004933929303660989,0.1393904983997345,-95.10436248779297,0.5331209301948547,-95.10436248779297,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797690,8.03,63.27295040289061,246.42440795898438,-147.775390625,0.0004898834158666432,0.12682977318763733,-97.03568267822266,0.43935203552246094,-97.03568267822266,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797691,8.51,63.77493936946633,244.37640380859375,-161.45394897460938,0.00047119142254814506,0.01413166057318449,-103.91575622558594,1.1007508039474487,-103.91575622558594,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797691,9.01,60.77830123224284,240.1873321533203,-174.7379608154297,0.00041915904148481786,-0.06512585282325745,-119.6156234741211,2.303739309310913,-119.6156234741211,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797692,9.52,58.54107080119991,233.44851684570312,-186.7268524169922,0.0004434967413544655,-0.05575483292341232,-125.30123138427734,1.5084422826766968,-125.30123138427734,W,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797692,10.0,55.62604070796867,226.0597381591797,-196.24322509765625,0.00045955664245411754,-0.10741838067770004,-137.21060180664062,1.9256032705307007,-137.21060180664062,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797693,10.51,50.7692048315353,216.41319274902344,-203.5426483154297,0.0004211809718981385,-0.10720664262771606,-161.58865356445312,3.317312717437744,-161.58865356445312,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797693,11.02,46.561960522723716,205.75706481933594,-206.4617462158203,0.00037490861723199487,-0.073055699467659,-178.80984497070312,2.776643991470337,-178.80984497070312,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797694,11.5,47.510844712071965,195.89134216308594,-206.97506713867188,0.0005221175961196423,0.0612531341612339,-176.7929229736328,0.32850581407546997,-176.7929229736328,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797694,12.01,49.28621676604968,184.98948669433594,-207.57257080078125,0.0004924392560496926,0.09944071620702744,-178.57403564453125,0.327536404132843,-178.57403564453125,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797695,12.52,48.22433072214078,173.6399383544922,-207.14306640625,0.00043289188761264086,-0.06277626752853394,171.60641479492188,1.136110544204712,171.60641479492188,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797695,13.02,45.58518154998398,163.38601684570312,-205.44778442382812,0.0004283523594494909,-0.11166675388813019,168.03927612304688,0.6053330898284912,168.03927612304688,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797696,13.5,43.93632700419041,154.021240234375,-203.5321044921875,0.00044776915456168354,-0.06359589099884033,169.11497497558594,-0.0666808933019638,169.11497497558594,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797696,14.02,45.998715720844274,143.87509155273438,-201.86810302734375,0.0003829574561677873,0.11225415021181107,173.16014099121094,-0.4852600395679474,173.16014099121094,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797697,14.51,48.95391596095548,133.29046630859375,-200.9124298095703,0.0005760955391451716,0.15628838539123535,177.8238525390625,-0.6044310331344604,177.8238525390625,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797697,15.02,52.10973480845313,121.93124389648438,-200.72195434570312,0.0005015945062041283,0.15561902523040771,-179.147705078125,-0.4103393256664276,-179.147705078125,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797698,15.5,54.24569060836998,110.21456909179688,-200.92662048339844,0.0034049605019390583,-0.012786113657057285,-177.72518920898438,-0.49496445059776306,-177.72518920898438,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797698,16.01,52.45767455933403,98.0019302368164,-201.7555694580078,0.0003815460077021271,-0.06808332353830338,-173.1285858154297,-0.5789183974266052,-173.1285858154297,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797699,16.53,50.52117424176442,86.47084045410156,-202.93905639648438,-0.0005710982950404286,-0.045372944325208664,-176.64547729492188,0.3678038418292999,-176.64547729492188,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797699,17.0,48.19964721962966,75.67886352539062,-203.00364685058594,0.00045475008664652705,-0.10683781653642654,174.92733764648438,1.0259596109390259,174.92733764648438,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797700,17.5,45.67213719037815,65.38448333740234,-202.2288360595703,0.0004406738153193146,-0.1043994352221489,176.3754119873047,0.0058433073572814465,176.3754119873047,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797700,18.02,43.344316571325734,55.109344482421875,-201.89308166503906,0.0004345321503933519,-0.1035115122795105,-178.89393615722656,-0.5368652939796448,-178.89393615722656,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797701,18.54,42.54312234645726,45.54795455932617,-202.32083129882812,0.0004607391310855746,0.0003073585103265941,-175.461669921875,-0.4002685248851776,-175.461669921875,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797701,19.01,46.00556638338214,35.98101806640625,-202.9771270751953,0.0009850692003965378,0.15805739164352417,-177.145751953125,0.11689840257167816,-177.145751953125,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797702,19.51,48.924100996598305,25.427297592163086,-203.4583282470703,0.0004811477556359023,0.15976494550704956,-177.48985290527344,0.037048496305942535,-177.48985290527344,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797702,20.01,49.019413166330075,14.077402114868164,-204.09022521972656,0.00045269011752679944,-0.02087305672466755,-175.89935302734375,-0.1687011867761612,-175.89935302734375,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797703,20.52,46.980055191264576,3.4737935066223145,-204.85421752929688,0.0004372787370812148,-0.08819139748811722,-175.72586059570312,-0.0477294921875,-175.72586059570312,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797703,21.02,44.95837710725132,-6.608469486236572,-205.50991821289062,0.0004385757492855191,-0.08438698202371597,-177.4791717529297,0.21430276334285736,-177.4791717529297,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797704,21.51,46.18580287022814,-16.69641876220703,-205.79534912109375,0.0004764175391755998,0.06514634191989899,-179.6037139892578,0.25135165452957153,-179.6037139892578,S,Dodge Charger 2020
Alex,4rM0Fwv6,5ExqgOEA,1724797704,22.04,44.6252262922609,-27.23974609375,-205.8024139404297,0.0004378509474918246,-0.08108799904584885,179.21238708496094,0.17416776716709137,179.21238708496094,S,Dodge Charger 2020
